nLoops,time_seconds
100.000000,0.00
1000.000000,0.00
10000.000000,0.00
100000.000000,0.00
1000000.000000,0.01
5000000.000000,0.01
10000000.000000,0.03
50000000.000000,0.13
100000000.000000,0.24
500000000.000000,1.16
1000000000.000000,2.29
5000000000.000000,11.16
10000000000.000000,22.46
50000000000.000000,122.22
